,At Rim,3 to <10 ft,10 to <16 ft,16 ft to <3-pt,3-pt
Luc Mbah a Moute,0.608,0.177,0.251,0.464,0.394
Lucas Nogueira,0.768,0.401,0.001,0.401,0.334
Luis Scola,0.673,0.401,0.376,0.001,0.341
Luke Babbitt,0.183,0.223,0.436,0.422,0.41
Luol Deng,0.618,0.351,0.287,0.228,0.312
Malachi Richardson,0.751,0.287,0.401,0.501,0.287
Malcolm Brogdon,0.546,0.312,0.371,0.342,0.427
Malcolm Delaney,0.464,0.319,0.309,0.459,0.259
Malik Beasley,0.527,0.001,0.001,0.401,0.354
Manu Ginobili,0.523,0.257,0.324,0.106,0.40700000000000003
Marc Gasol,0.679,0.523,0.439,0.371,0.398
Marcelo Huertas,0.668,0.317,0.475,0.001,0.212
Marcin Gortat,0.701,0.487,0.406,0.301,0.001
Marco Belinelli,0.674,0.401,0.401,0.45,0.374
Marcus Morris,0.616,0.334,0.433,0.484,0.34
Marcus Smart,0.509,0.414,0.392,0.263,0.306
Marcus Thornton,0.601,0.334,0.468,0.295,0.351
Mario Hezonja,0.607,0.274,0.43,0.315,0.322
Markieff Morris,0.618,0.427,0.406,0.376,0.364
Marquese Chriss,0.581,0.341,0.382,0.356,0.321
Marreese Speights,0.601,0.415,0.321,0.453,0.39
Marshall Plumlee,0.751,0.001,0.001,0.001,0.001
Marvin Williams,0.599,0.398,0.318,0.394,0.361
Mason Plumlee,0.665,0.376,0.36,0.251,0.001
Matt Barnes,0.569,0.413,0.084,0.368,0.328
Matthew Dellavedova,0.422,0.434,0.41,0.401,0.341
Maurice Harkless,0.58,0.474,0.572,0.401,0.356
Maurice Ndour,0.766,0.001,0.201,0.501,0.201
Metta World Peace,0.601,0.001,0.501,0.001,0.126
Meyers Leonard,0.691,0.358,0.274,0.309,0.334
Michael Beasley,0.699,0.507,0.475,0.454,0.422
Michael Carter-Williams,0.615,0.427,0.298,0.354,0.201
Michael Gbinije,0.251,0.001,0.001,0.001,0.001
Michael Kidd-Gilchrist,0.591,0.194,0.456,0.352,0.112
Mike Conley,0.605,0.449,0.401,0.376,0.413
Mike Dunleavy,0.658,0.001,0.401,0.39,0.395
Mike Miller,0.001,0.001,0.501,0.001,0.001
